"block_number","min"
11754708,1e+09
11754709,9e+09
11754710,64000001459
11754711,64000001459
11754712,64000001459
11754713,8.1e+10
11754714,7.5e+10
11754715,70400001100
11754716,6.6e+10
11754717,64000001459
11754718,64000001459
11754719,5.72e+10
11754720,5.2e+10
11754721,6.5e+10
11754722,53003600000
11754723,64000001459
11754725,5.3e+10
11754726,5.2e+10
11754727,9e+09
11754728,79800000256
11754729,7.9e+10
11754730,66000001561
11754731,64000001459
11754732,64000001460
11754733,64000001459
11754734,5.94e+10
11754735,9e+09
11754736,1e+09
11754737,9e+09
11754738,7.5e+10
11754739,9e+09
11754740,65000001459
11754741,6.5e+10
11754742,9e+09
11754743,1e+09
11754744,9e+09
11754745,5.51e+10
11754746,5.3e+10
11754747,52000001347
11754748,52043016039
11754749,8.3e+10
11754750,66000000233
11754751,1e+09
11754752,6.5e+10
11754753,7.1e+10
11754754,6.5e+10
11754755,5.5e+10
11754756,1.0625e+11
11754757,9.08e+10
11754758,8.5e+10
11754759,8.47e+10
11754760,9.875e+10
11754761,8.7e+10
11754762,9e+09
11754763,90000001561
11754764,8.5e+10
11754765,8.5e+10
11754766,1e+09
11754767,8.6e+10
11754769,1.01e+11
11754770,8.8e+10
11754771,86000001459
11754772,8.5e+10
11754773,8.47e+10
11754774,83000001561
11754775,8.23e+10
11754777,7.9e+10
11754778,9e+09
11754779,9e+10
11754780,8.6e+10
11754781,9e+09
11754782,9e+09
11754783,1e+11
11754784,9e+10
11754785,9e+09
11754786,86000000053
11754787,8.6e+10
11754788,8.6e+10
11754789,3.01e+10
11754790,8.6e+10
11754791,3e+09
11754792,9e+09
11754793,9.4e+10
11754794,8.6e+10
11754795,1e+09
11754796,78000001600
11754797,9e+09
11754798,8.8e+10
11754799,95000001459
11754800,8.69e+10
11754801,8.6e+10
11754802,9e+09
11754803,8.6e+10
11754804,9e+09
11754805,7.7e+10
11754806,74750001677
11754807,1e+09
11754808,71254710575
11754809,7e+10
11754810,7e+10
11754811,6.7248e+10
11754812,9e+09
11754813,65000001459
11754814,65000001459
11754815,6.5e+10
11754816,6.5e+10
11754817,6.5e+10
11754818,6.2e+10
11754819,74160001502
11754820,6.05e+10
11754821,9.5e+10
11754822,78100001481
11754823,71000001347
11754824,7e+10
