"block_number","min"
11904806,1.33e+11
11904808,1.232e+11
11904809,1.41e+11
11904810,1.25e+11
11904811,1.2e+11
11904812,1.23e+11
11904813,1.17e+11
11904815,117086250209
11904816,1.12e+11
11904817,1.3189e+11
11904818,116000001459
11904819,1.342e+11
11904820,1.18e+11
11904821,110013600000
11904822,1.21e+11
11904823,1.1e+11
11904824,1.05e+11
11904825,1e+09
11904826,9.3e+10
11904827,9.3e+10
11904828,92000001347
11904829,1e+09
11904830,115000001459
11904831,9.2e+10
11904832,1.17e+11
11904833,1.3e+11
11904834,1.17e+11
11904835,9.7e+10
11904836,1.14e+11
11904837,94000001561
11904838,9.2e+10
11904839,1e+09
11904840,1.46e+11
11904841,1.46e+11
11904842,1.22e+11
11904843,1.18e+11
11904844,1.15e+11
11904845,110013600000
11904846,1.22e+11
11904847,117000001459
11904848,1.16e+11
11904849,1.66e+11
11904850,1.5e+11
11904851,1.48e+11
11904852,146000001459
11904853,1.35e+11
11904854,1.27e+11
11904855,127329175314
11904856,121014960000
11904857,1e+09
11904858,1.41e+11
11904859,1.18e+11
11904860,1.16e+11
11904862,1.16e+11
11904863,1.15e+11
11904865,1.276e+11
11904866,1.15e+11
11904867,1.18e+11
11904868,1e+09
11904869,143000000233
11904870,1.5e+11
11904871,141000001459
11904872,1e+09
11904873,1.25e+11
11904874,1.25e+11
11904875,1.22e+11
11904876,1.2e+11
11904877,126000001235
11904878,1.16e+11
11904879,1.12e+11
11904880,1.11e+11
11904881,1.44e+11
11904882,1.25e+11
11904883,121014960000
11904884,1.17e+11
11904885,110013600000
11904886,1.06e+11
11904887,145714285714
11904888,1.21e+11
11904889,1.375e+11
11904890,1.05e+11
11904891,1.02e+11
11904892,1.02e+11
11904893,130900000233
11904894,1.21e+11
11904895,1.17e+11
11904896,101000001459
11904897,1e+09
11904898,9.5e+10
11904899,1.25e+11
11904900,1.11e+11
11904901,9.5e+10
11904902,1e+09
11904903,1.45e+11
11904904,1e+09
11904905,1.44e+11
11904906,1.25e+11
11904907,1.25e+11
11904908,1.331e+11
11904909,1.17e+11
11904910,1.2875e+11
11904911,1.15e+11
11904912,1.29e+11
11904913,1.18e+11
11904914,1.14e+11
11904916,1.012e+11
11904917,92000001347
11904918,1.55e+11
11904919,134000001459
11904920,1.24e+11
11904921,1.25e+11
11904922,1e+09
11904923,9.5e+10
11904924,1.46e+11
11904925,1.2563e+11
11904926,123000001459
11904927,1.18e+11
11904928,1.48e+11
11904930,1e+09
11904931,1.1e+11
11904932,1.2e+11
11904933,9.5e+10
11904934,9.3e+10
11904935,1.24e+11
11904936,9.2e+10
11904937,91000001347
11904938,1.375e+11
11904939,1e+09
11904940,1.54e+11
11904941,1.25e+11
11904942,1.24e+11
11904943,1.24e+11
11904944,1.364e+11
11904945,1.38e+11
11904946,1e+09
11904947,156000001561
11904948,1.42e+11
11904949,1.25e+11
11904950,1.24e+11
11904951,1.21e+11
11904952,120000001347
11904953,3.01e+10
11904955,1.24e+11
11904956,1.09e+11
11904957,1.36e+11
11904958,145714285714
11904959,1.3125e+11
11904961,1.24e+11
11904962,1.41e+11
11904963,1.24e+11
11904964,1.364e+11
11904965,1.24e+11
11904966,125000001459
11904967,1.24e+11
11904968,110000001459
11904970,1.52e+11
11904971,1.4375e+11
11904972,1.44e+11
11904973,1.364e+11
11904974,1.46e+11
11904975,1e+09
11904976,128222222216
11904977,1.25e+11
11904978,1.24e+11
11904979,1.364e+11
11904980,1.364e+11
11904981,1.24e+11
11904982,1.2e+11
11904983,1.1e+11
11904984,1.07e+11
11904985,136000001459
11904986,1.4e+11
11904987,1.19e+11
11904988,1.111e+11
11904989,104000001347
11904990,1.015e+11
11904991,1.45e+11
11904992,1.32e+11
11904993,1.39e+11
11904994,1.2772e+11
11904995,1.11902e+11
11904996,1.36e+11
11904997,1.325e+11
11904998,1.1e+11
11904999,1e+09
11905000,102000001459
11905001,1.46e+11
11905002,126000001459
11905003,1e+09
11905004,1.05e+11
11905005,1.01e+11
11905006,1.39e+11
11905007,136400000233
11905009,1.40492e+11
11905010,1.3764e+11
11905011,1.2772e+11
11905012,1.364e+11
11905013,1.2e+11
11905014,1.01e+11
11905015,1e+11
11905016,1.35e+11
11905017,133000001459
11905018,1.1e+11
11905019,1.15e+11
11905020,1.04e+11
11905021,1e+11
11905022,1e+11
11905023,1e+11
11905024,1.34e+11
11905025,9.9e+10
11905026,1e+09
11905027,132000001459
11905028,99500001403
11905029,9.8e+10
11905030,9.7e+10
11905031,1e+09
11905032,1.15e+11
11905033,9.6e+10
11905034,9.5e+10
11905035,9.4e+10
11905036,1e+09
11905037,9.3e+10
11905038,1.46e+11
11905039,1.1e+11
11905040,1.45e+11
11905041,1.05e+11
11905042,1.133e+11
11905043,1.03e+11
11905044,1e+11
11905045,9.921e+10
11905046,99000001459
11905047,1e+11
11905048,9.44e+10
11905049,103950001531
11905050,94000001459
11905051,1.2e+11
11905052,1.02e+11
11905053,1e+11
11905054,1e+09
11905055,9.3e+10
11905056,91000001347
11905057,1e+11
11905058,91000001123
11905059,1e+11
11905060,1e+11
11905061,1.05e+11
11905062,1.03e+11
11905063,1e+09
11905064,1.175e+11
11905065,1e+11
11905066,1e+11
11905067,1.09e+11
11905068,102000001459
11905069,1.01e+11
11905070,1e+09
11905072,1e+11
11905073,1.14e+11
11905074,1.001e+11
11905076,1.001e+11
11905077,1e+11
11905078,1e+11
11905079,9.5e+10
11905080,9.2e+10
11905081,1.5318e+11
11905082,1.01e+11
11905083,91000001347
11905084,92000001347
11905085,9e+10
11905086,102000001561
11905087,1.301e+11
11905088,1.04e+11
11905089,1.195e+11
11905090,1.15e+11
11905091,1.03e+11
11905093,1.001e+11
11905094,102000001459
11905095,1.01e+11
11905096,1.001e+11
11905097,1.001e+11
11905098,1.31e+11
11905099,1e+09
11905100,1.01e+11
11905101,116932695901
11905102,1.01e+11
11905103,1.001e+11
11905104,3.01e+10
11905105,9.5e+10
11905106,1.001e+11
11905107,9.4e+10
11905108,91000001347
11905109,1e+09
11905110,9.1e+10
11905111,9.1e+10
11905112,1e+09
11905113,1.01e+11
11905114,9.5e+10
11905115,9.1e+10
11905116,9.1e+10
11905117,9.1e+10
11905118,9.1e+10
11905119,9.15e+10
11905120,9e+10
11905121,9.1e+10
11905122,9.1e+10
11905123,9.1e+10
11905124,90000001123
11905125,9e+10
11905126,9e+10
11905127,9e+10
11905128,9e+10
11905129,1e+11
11905130,1.01e+11
11905131,9.1e+10
11905132,9.1e+10
11905133,1e+09
11905134,9e+10
11905135,1e+09
11905136,9.1e+10
11905137,9e+10
11905138,9.1e+10
11905139,1.2e+11
11905140,9.6e+10
11905141,9.2e+10
11905143,1.5e+11
11905144,1.37e+11
11905145,1.26e+11
11905146,1.16e+11
11905147,1.08e+11
11905148,9.3006e+10
11905149,94000001561
11905150,119289813995
11905152,1.34e+11
11905154,1.33e+11
11905155,1.35e+11
11905156,1.27e+11
11905157,1.408e+11
11905158,1.33012e+11
11905159,1e+09
11905160,1.287e+11
11905161,1.25e+11
